Date,Index
8/1/18,249.3
7/1/18,249.5
6/1/18,249.7
5/1/18,247.9
4/1/18,244.9
3/1/18,244.1
2/1/18,241.0
1/1/18,240.0
12/1/17,238.3
11/1/17,237.9
10/1/17,237.3
9/1/17,236.3
8/1/17,235.7
7/1/17,234.6
6/1/17,234.5
5/1/17,234.1
4/1/17,233.8
3/1/17,233.1
2/1/17,232.4
1/1/17,231.7
12/1/16,230.7
11/1/16,230.0
10/1/16,230.0
9/1/16,230.2
8/1/16,230.3
7/1/16,229.6
6/1/16,228.9
5/1/16,228.3
4/1/16,227.7
3/1/16,227.6
2/1/16,227.3
1/1/16,227.7
12/1/15,227.8
11/1/15,228.0
10/1/15,228.1
9/1/15,227.8
8/1/15,228.1
7/1/15,228.7
6/1/15,228.7
5/1/15,228.7
4/1/15,228.9
3/1/15,228.7
2/1/15,228.8
1/1/15,229.2
12/1/14,229.0
11/1/14,228.9
10/1/14,229.0
9/1/14,228.8
8/1/14,228.2
7/1/14,227.5
6/1/14,227.2
5/1/14,227.0
4/1/14,226.3
3/1/14,226.2
2/1/14,225.5
1/1/14,224.9
12/1/13,223.7
11/1/13,223.4
10/1/13,223.3
9/1/13,223.2
8/1/13,223.0
7/1/13,222.3
6/1/13,222.3
5/1/13,222.6
4/1/13,222.9
3/1/13,222.2
2/1/13,222.0
1/1/13,221.4
12/1/12,220.6
11/1/12,220.1
10/1/12,219.5
9/1/12,219.3
8/1/12,218.6
7/1/12,218.2
6/1/12,218.7
5/1/12,218.6
4/1/12,217.9
3/1/12,217.1
2/1/12,216.9
1/1/12,215.7
12/1/11,214.5
11/1/11,214.5
10/1/11,214.5
9/1/11,214.5
8/1/11,214.5
7/1/11,214.5
6/1/11,213.5
5/1/11,212.6
4/1/11,212.0
3/1/11,210.8
2/1/11,209.6
1/1/11,208.5
12/1/10,207.3
11/1/10,206.7
10/1/10,206.1
9/1/10,205.9
8/1/10,206.0
7/1/10,206.0
6/1/10,206.3
5/1/10,207.1
4/1/10,205.9
3/1/10,204.6
2/1/10,203.8
1/1/10,202.6
12/1/09,202.3
11/1/09,202.0
10/1/09,202.1
9/1/09,201.9
8/1/09,201.2
7/1/09,201.6
6/1/09,201.8
5/1/09,202.6
4/1/09,203.1
3/1/09,204.4
2/1/09,205.1
1/1/09,207.3
12/1/08,208.5
11/1/08,210.6
10/1/08,212.5
9/1/08,214.0
8/1/08,212.7
7/1/08,209.6
6/1/08,206.3
5/1/08,203.2
4/1/08,200.2
3/1/08,197.4
2/1/08,196.0
1/1/08,194.8
12/1/07,194.0
11/1/07,193.7
10/1/07,193.5
9/1/07,193.3
8/1/07,193.5
7/1/07,193.4
6/1/07,193.1
5/1/07,192.7
4/1/07,192.0
3/1/07,191.3
2/1/07,190.7
1/1/07,190.6
12/1/06,190.3
11/1/06,190.1
10/1/06,190.8
9/1/06,191.1
8/1/06,190.8
7/1/06,190.1
6/1/06,189.2
5/1/06,188.1
4/1/06,186.6
3/1/06,185.5
2/1/06,185.1
1/1/06,184.5
12/1/05,182.1
11/1/05,181.1
10/1/05,179.4
9/1/05,177.1
8/1/05,175.5
7/1/05,175.7
6/1/05,175.5
5/1/05,175.0
4/1/05,175.4
3/1/05,175.1
2/1/05,174.8
1/1/05,173.3
12/1/04,171.6
11/1/04,170.9
10/1/04,171.1
9/1/04,171.0
8/1/04,169.9
7/1/04,167.4
6/1/04,167.0
5/1/04,166.9
4/1/04,164.7
3/1/04,162.0
2/1/04,159.2
1/1/04,156.4
12/1/03,155.9
11/1/03,155.9
10/1/03,155.4
9/1/03,154.9
8/1/03,153.6
7/1/03,153.4
6/1/03,152.8
5/1/03,152.7
