Date_TOL,TOL,Date_DHI,DHI,Date_LEN,LEN,Date_NVR,NVR,Date_PMH,PMH,Date_TMHC,TMHC,Date_AVHI,AVHI,Date_BZH,BZH,Date_CVCO,CVCO,Date_CCS,CCS,Date_GBRK,GBRK,Date_HOV,HOV,Date_KBH,KBH,Date_LGIH,LGIH,Date_WLH,WLH,Date_MHO,MHO,Date_MDC,MDC,Date_MTH,MTH,Date_TPH,TPH
8/21/18,1913.00,8/21/18,"$4,435 ",8/21/18,"$5,459 ",8/21/18,"$1,787 ",8/21/18,"$2,570 ",8/21/18,$981 ,8/21/18,$204 ,8/21/18,$512 ,8/21/18,$246 ,8/21/18,$532 ,8/21/18,$155 ,8/21/18,$457 ,8/21/18,"$1,225 ",8/21/18,$420 ,8/21/18,$519 ,8/21/18,$558 ,8/21/18,$771 ,8/21/18,$881 ,8/21/18,$771 
5/22/18,1599.00,5/22/18,"$3,795 ",5/22/18,"$2,981 ",5/22/18,"$1,529 ",5/22/18,"$1,970 ",5/22/18,$752 ,5/22/18,$152 ,5/22/18,$455 ,5/22/18,$243 ,5/22/18,$402 ,5/22/18,$128 ,5/22/18,$503 ,5/22/18,"$1,101 ",5/22/18,$279 ,5/22/18,$373 ,5/22/18,$438 ,5/22/18,$627 ,5/22/18,$746 ,5/22/18,$584 
2/27/18,1175.00,2/27/18,"$3,333 ",2/27/18,"$3,786 ",2/27/18,"$1,816 ",2/27/18,"$2,791 ",2/27/18,"$1,300 ",2/27/18,$281 ,2/27/18,$372 ,2/27/18,$221 ,2/27/18,$524 ,2/27/18,$136 ,2/27/18,$417 ,2/27/18,$872 ,2/27/18,$405 ,2/27/18,$625 ,2/27/18,$622 ,2/27/18,$724 ,2/27/18,$950 ,2/27/18,"$1,129 "
12/5/17,2028.00,12/5/17,"$4,159 ",12/5/17,"$3,261 ",12/5/17,"$1,668 ",12/5/17,"$2,130 ",12/5/17,$908 ,12/5/17,$206 ,12/5/17,$673 ,12/5/17,$201 ,12/5/17,$380 ,12/5/17,$114 ,12/5/17,$722 ,12/5/17,"$1,403 ",12/5/17,$366 ,12/5/17,$490 ,12/5/17,$476 ,12/5/17,$604 ,12/5/17,$809 ,12/5/17,$718 
8/22/17,1503.00,8/22/17,"$3,776 ",8/22/17,"$3,262 ",8/22/17,"$1,544 ",8/22/17,"$2,022 ",8/22/17,$908 ,8/22/17,$201 ,8/22/17,$479 ,8/22/17,$207 ,8/22/17,$292 ,8/22/17,$105 ,8/22/17,$592 ,8/22/17,"$1,144 ",8/22/17,$324 ,8/22/17,$423 ,8/22/17,$457 ,8/22/17,$668 ,8/22/17,$806 ,8/22/17,$571 
5/23/17,1364.00,5/23/17,"$3,251 ",5/23/17,"$2,337 ",5/23/17,"$1,277 ",5/23/17,"$1,630 ",5/23/17,$769 ,5/23/17,$156 ,5/23/17,$425 ,5/23/17,$198 ,5/23/17,$228 ,5/23/17,$99 ,5/23/17,$586 ,5/23/17,"$1,003 ",5/23/17,$163 ,5/23/17,$259 ,5/23/17,$407 ,5/23/17,$582 ,5/23/17,$676 ,5/23/17,$393 
2/22/17,921.00,2/22/17,"$2,904 ",2/22/17,"$3,377 ",2/22/17,"$1,753 ",2/22/17,"$2,493 ",2/22/17,"$1,197 ",2/22/17,$262 ,2/22/17,$339 ,2/22/17,$202 ,2/22/17,$297 ,2/22/17,$120 ,2/22/17,$552 ,2/22/17,$819 ,2/22/17,$237 ,2/22/17,$473 ,2/22/17,$523 ,2/22/17,$736 ,2/22/17,$884 ,2/22/17,$774 
12/6/16,1855.00,12/6/16,"$3,741 ",12/6/16,"$2,834 ",12/6/16,"$1,538 ",12/6/16,"$1,943 ",12/6/16,$853 ,12/6/16,$205 ,12/6/16,$632 ,12/6/16,$188 ,12/6/16,$253 ,12/6/16,$92 ,12/6/16,$805 ,12/6/16,"$1,192 ",12/6/16,$216 ,12/6/16,$343 ,12/6/16,$442 ,12/6/16,$595 ,12/6/16,$756 ,12/6/16,$582 
8/23/16,1270.00,8/23/16,"$3,232 ",8/23/16,"$2,746 ",8/23/16,"$1,388 ",8/23/16,"$1,800 ",8/23/16,$854 ,8/23/16,$188 ,8/23/16,$460 ,8/23/16,$185 ,8/23/16,$260 ,8/23/16,$99 ,8/23/16,$717 ,8/23/16,$913 ,8/23/16,$223 ,8/23/16,$326 ,8/23/16,$401 ,8/23/16,$587 ,8/23/16,$801 ,8/23/16,$625 
5/24/16,1116.00,5/24/16,"$2,768 ",5/24/16,"$1,994 ",5/24/16,"$1,144 ",5/24/16,"$1,433 ",5/24/16,$645 ,5/24/16,$124 ,5/24/16,$386 ,5/24/16,$177 ,5/24/16,$184 ,5/24/16,$70 ,5/24/16,$655 ,5/24/16,$811 ,5/24/16,$162 ,5/24/16,$264 ,5/24/16,$324 ,5/24/16,$408 ,5/24/16,$600 ,5/24/16,$424 
2/23/16,929.00,2/23/16,"$2,416 ",2/23/16,"$2,946 ",2/23/16,"$1,555 ",2/23/16,"$2,062 ",2/23/16,$970 ,2/23/16,$226 ,2/23/16,$344 ,2/23/16,$181 ,2/23/16,$206 ,2/23/16,$86 ,2/23/16,$576 ,2/23/16,$678 ,2/23/16,$177 ,2/23/16,$403 ,2/23/16,$469 ,2/23/16,$579 ,2/23/16,$785 ,2/23/16,$880 
12/8/15,1437.00,12/8/15,"$3,173 ",12/8/15,"$2,492 ",12/8/15,"$1,402 ",12/8/15,"$1,507 ",12/8/15,$796 ,12/8/15,$154 ,12/8/15,$633 ,12/8/15,$192 ,12/8/15,$183 ,12/8/15,$75 ,12/8/15,$693 ,12/8/15,$986 ,12/8/15,$174 ,12/8/15,$249 ,12/8/15,$363 ,12/8/15,$468 ,12/8/15,$673 ,12/8/15,$648 
8/25/15,1028.00,8/25/15,"$2,951 ",8/25/15,"$2,393 ",8/25/15,"$1,244 ",8/25/15,"$1,280 ",8/25/15,$701 ,8/25/15,$79 ,8/25/15,$429 ,8/25/15,$162 ,8/25/15,$189 ,8/25/15,$72 ,8/25/15,$541 ,8/25/15,$843 ,8/25/15,$159 ,8/25/15,$255 ,8/25/15,$323 ,8/25/15,$473 ,8/25/15,$601 ,8/25/15,$496 
5/27/15,853.00,5/27/15,"$2,398 ",5/27/15,"$1,644 ",5/27/15,$958 ,5/27/15,"$1,133 ",5/27/15,$509 ,5/27/15,$59 ,5/27/15,$299 ,5/27/15,$141 ,5/27/15,$156 ,5/27/15,$58 ,5/27/15,$469 ,5/27/15,$623 ,5/27/15,$121 ,5/27/15,$197 ,5/27/15,$263 ,5/27/15,$389 ,5/27/15,$521 ,5/27/15,$377 
2/24/15,853.00,2/24/15,"$2,303 ",2/24/15,"$2,584 ",2/24/15,"$1,328 ",2/24/15,"$1,823 ",2/24/15,"$1,012 ",2/24/15,$104 ,2/24/15,$266 ,2/24/15,$147 ,2/24/15,$141 ,2/24/15,$68 ,2/24/15,$446 ,2/24/15,$580 ,2/24/15,$108 ,2/24/15,$358 ,2/24/15,$368 ,2/24/15,$506 ,2/24/15,$702 ,2/24/15,$635 
12/10/14,1351.00,12/10/14,"$2,472 ",12/10/14,"$2,014 ",12/10/14,"$1,203 ",12/10/14,"$1,595 ",12/10/14,$629 ,12/10/14,$87 ,12/10/14,$546 ,12/10/14,$139 ,12/10/14,$92 ,12/10/14,$50 ,12/10/14,$698 ,12/10/14,$796 ,12/10/14,$93 ,12/10/14,$207 ,12/10/14,$331 ,12/10/14,$418 ,12/10/14,$560 ,12/10/14,$478 
9/3/14,1057.00,9/3/14,"$2,147 ",9/3/14,"$1,819 ",9/3/14,"$1,102 ",9/3/14,"$1,286 ",9/3/14,$597 ,9/3/14,$51 ,9/3/14,$355 ,9/3/14,$139 ,9/3/14,$80 ,9/3/14,$66 ,9/3/14,$551 ,9/3/14,$589 ,9/3/14,$106 ,9/3/14,$180 ,9/3/14,$282 ,9/3/14,$443 ,9/3/14,$508 ,9/3/14,$343 
5/28/14,860.00,5/28/14,"$1,735 ",5/28/14,"$1,363 ",5/28/14,$811 ,5/28/14,"$1,119 ",5/28/14,$470 ,5/28/14,$44 ,5/28/14,$270 ,5/28/14,$131 ,5/28/14,$50 ,5/28/14,$63 ,5/28/14,$450 ,5/28/14,$565 ,5/28/14,$76 ,5/28/14,$150 ,5/28/14,$235 ,5/28/14,$328 ,5/28/14,$410 ,5/28/14,$248 
2/25/14,644.00,2/25/14,"$1,671 ",2/25/14,"$1,915 ",2/25/14,"$1,242 ",2/25/14,"$1,655 ",2/25/14,$391 ,2/25/14,$52 ,2/25/14,$293 ,2/25/14,$138 ,2/25/14,$64 ,2/25/14,$0 ,2/25/14,$364 ,2/25/14,$451 ,2/25/14,$65 ,2/25/14,$209 ,2/25/14,$336 ,2/25/14,$472 ,2/25/14,$538 ,2/25/14,$487 
12/10/13,1045.00,12/10/13,"$1,860 ",12/10/13,"$1,603 ",12/10/13,"$1,189 ",12/10/13,"$1,582 ",12/10/13,$634 ,12/10/13,$35 ,12/10/13,$438 ,12/10/13,$130 ,12/10/13,$41 ,12/10/13,$0 ,12/10/13,$592 ,12/10/13,$619 ,12/10/13,$38 ,12/10/13,$151 ,12/10/13,$275 ,12/10/13,$448 ,12/10/13,$494 ,12/10/13,$324 
8/21/13,689.00,8/21/13,"$1,693 ",8/21/13,"$1,427 ",8/21/13,"$1,010 ",8/21/13,"$1,279 ",8/21/13,$509 ,8/21/13,$29 ,8/21/13,$314 ,8/21/13,$134 ,8/21/13,$41 ,8/21/13,$0 ,8/21/13,$478 ,8/21/13,$549 ,8/21/13,$37 ,8/21/13,$131 ,8/21/13,$235 ,8/21/13,$416 ,8/21/13,$451 ,8/21/13,$51 
5/22/13,516.00,5/22/13,"$1,432 ",5/22/13,$990 ,5/22/13,$770 ,5/22/13,"$1,163 ",5/22/13,$382 ,5/22/13,$25 ,5/22/13,$288 ,5/22/13,$109 ,5/22/13,$25 ,5/22/13,$0 ,5/22/13,$423 ,5/22/13,$524 ,5/22/13,$22 ,5/22/13,$81 ,5/22/13,$191 ,5/22/13,$344 ,5/22/13,$337 ,5/22/13,$28 
2/20/13,425.00,2/20/13,"$1,275 ",2/20/13,"$1,350 ",2/20/13,$944 ,2/20/13,"$1,567 ",2/20/13,"$1,436 ",2/20/13,$32 ,2/20/13,$247 ,2/20/13,$115 ,2/20/13,$0 ,2/20/13,($305),2/20/13,$358 ,2/20/13,$405 ,2/20/13,$0 ,2/20/13,$110 ,2/20/13,$251 ,2/20/13,$406 ,2/20/13,$365 ,2/20/13,$56 
12/4/12,633.00,12/4/12,"$1,336 ",12/4/12,"$1,100 ",12/4/12,$871 ,12/4/12,"$1,303 ",12/4/12,$321 ,12/4/12,$29 ,12/4/12,$371 ,12/4/12,$110 ,12/4/12,,12/4/12,$116 ,12/4/12,$487 ,12/4/12,$578 ,12/4/12,$24 ,12/4/12,$93 ,12/4/12,$209 ,12/4/12,$334 ,12/4/12,$343 ,12/4/12,$10 
8/22/12,554.00,8/22/12,"$1,150 ",8/22/12,$930 ,8/22/12,$770 ,8/22/12,"$1,069 ",8/22/12,$318 ,8/22/12,$19 ,8/22/12,$255 ,8/22/12,$119 ,8/22/12,,8/22/12,$123 ,8/22/12,$387 ,8/22/12,$425 ,8/22/12,$0 ,8/22/12,$151 ,8/22/12,$171 ,8/22/12,$269 ,8/22/12,$282 ,8/22/12,$8 
5/23/12,374.00,5/23/12,$961 ,5/23/12,$725 ,5/23/12,$600 ,5/23/12,$881 ,5/23/12,$239 ,5/23/12,$27 ,5/23/12,$192 ,5/23/12,$100 ,5/23/12,,5/23/12,$139 ,5/23/12,$342 ,5/23/12,$303 ,5/23/12,,5/23/12,$44 ,5/23/12,$131 ,5/23/12,$194 ,5/23/12,$204 ,5/23/12,$5 
2/22/12,322.00,2/22/12,$907 ,2/22/12,$953 ,2/22/12,$741 ,2/22/12,"$1,262 ",2/22/12,$0 ,2/22/12,$34 ,2/22/12,$189 ,2/22/12,$115 ,2/22/12,,2/22/12,$164 ,2/22/12,$270 ,2/22/12,$255 ,2/22/12,,2/22/12,$65 ,2/22/12,$177 ,2/22/12,$246 ,2/22/12,$246 ,2/22/12,$0 
12/6/11,428.00,12/6/11,"$1,098 ",12/6/11,$820 ,12/6/11,$707 ,12/6/11,"$1,142 ",12/6/11,,12/6/11,$15 ,12/6/11,$335 ,12/6/11,$130 ,12/6/11,,12/6/11,$163 ,12/6/11,$342 ,12/6/11,$480 ,12/6/11,,12/6/11,$60 ,12/6/11,$142 ,12/6/11,$212 ,12/6/11,$218 ,12/6/11,
8/24/11,394.00,8/24/11,$999 ,8/24/11,$764 ,8/24/11,$696 ,8/24/11,$927 ,8/24/11,,8/24/11,$28 ,8/24/11,$173 ,8/24/11,$99 ,8/24/11,,8/24/11,$169 ,8/24/11,$286 ,8/24/11,$367 ,8/24/11,,8/24/11,$63 ,8/24/11,$137 ,8/24/11,$215 ,8/24/11,$220 ,8/24/11,
5/25/11,320.00,5/25/11,$751 ,5/25/11,$558 ,5/25/11,$515 ,5/25/11,$805 ,5/25/11,,5/25/11,$12 ,5/25/11,$126 ,5/25/11,$39 ,5/25/11,,5/25/11,$158 ,5/25/11,$255 ,5/25/11,$272 ,5/25/11,,5/25/11,$39 ,5/25/11,$111 ,5/25/11,$169 ,5/25/11,$178 ,5/25/11,
2/23/11,334.00,2/23/11,$788 ,2/23/11,$860 ,2/23/11,$811 ,2/23/11,"$1,185 ",2/23/11,,2/23/11,$23 ,2/23/11,$109 ,2/23/11,$40 ,2/23/11,,2/23/11,$141 ,2/23/11,$253 ,2/23/11,$197 ,2/23/11,,2/23/11,$90 ,2/23/11,$165 ,2/23/11,$258 ,2/23/11,$215 ,2/23/11,
