Date_TOL,TOL,Date_DHI,DHI,Date_LEN,LEN,Date_NVR,NVR,Date_PMH,PMH,Date_TMHC,TMHC,Date_AVHI,AVHI,Date_BZH,BZH,Date_CVCO,CVCO,Date_CCS,CCS,Date_GBRK,GBRK,Date_HOV,HOV,Date_KBH,KBH,Date_LGIH,LGIH,Date_WLH,WLH,Date_MHO,MHO,Date_MDC,MDC,Date_MTH,MTH,Date_TPH,TPH
9/29/03,14.773336,6/5/92,1.048652,6/5/92,2.19321,6/5/92,0.8125,7/1/85,0.722449,4/10/13,23.040001,9/30/13,17.459999,2/23/94,29.532843,7/1/03,10,6/18/14,21.25,6/20/07,133.159271,9/7/83,1.458333,8/1/86,1.791473,11/7/13,12.9,9/30/13,20.32,11/3/93,6.506112,3/11/80,0.1666,7/26/88,2.647498,1/31/13,19.049999
9/30/03,15.010181,6/8/92,1.048652,6/8/92,2.21705,6/8/92,0.8125,7/2/85,0.711503,4/11/13,24.01,10/1/13,18.01,2/24/94,29.119793,7/2/03,10.75,6/19/14,21.200001,6/21/07,133.159271,9/8/83,1.458333,8/4/86,1.754912,11/8/13,13.04,10/1/13,20.190001,11/4/93,6.336386,3/12/80,0.1666,7/27/88,2.647498,2/1/13,19
10/1/03,16.115467,6/9/92,1.000985,6/9/92,2.18129,6/9/92,0.75,7/3/85,0.733396,4/12/13,24.299999,10/2/13,17.860001,2/25/94,29.119793,7/3/03,10,6/20/14,21,6/22/07,134.464752,9/9/83,1.430556,8/5/86,1.736632,11/11/13,13.26,10/2/13,20.610001,11/5/93,6.223238,3/13/80,0.1666,7/28/88,2.647498,2/4/13,18.4
10/2/03,16.090799,6/10/92,1.000985,6/10/92,2.062094,6/10/92,0.75,7/5/85,0.727921,4/15/13,23.450001,10/3/13,17.799999,2/28/94,28.913269,7/7/03,9.075,6/23/14,20.74,6/25/07,134.986954,9/12/83,1.416667,8/6/86,1.718351,11/12/13,12.72,10/3/13,20.559999,11/8/93,6.279812,3/14/80,0.194367,7/29/88,2.647498,2/5/13,18.18
10/3/03,16.224024,6/11/92,0.953319,6/11/92,2.050174,6/11/92,0.625,7/8/85,0.733396,4/16/13,23.75,10/4/13,17.700001,3/1/94,28.913269,7/8/03,9.295,6/24/14,21.5,6/26/07,135.770233,9/13/83,1.347222,8/7/86,1.754912,11/13/13,13.05,10/4/13,20.780001,11/9/93,6.223238,3/17/80,0.194367,8/1/88,2.647498,2/6/13,18.16
10/6/03,16.727325,6/12/92,0.953319,6/12/92,2.062094,6/12/92,0.6875,7/9/85,0.722449,4/17/13,23.58,10/7/13,18.32,3/2/94,28.706743,7/9/03,9.055,6/25/14,21.82,6/27/07,136.031326,9/14/83,1.305556,8/8/86,1.754912,11/14/13,13.42,10/7/13,20.83,11/10/93,6.392962,3/18/80,0.1666,8/2/88,2.647498,2/7/13,18.450001
10/7/03,16.682913,6/15/92,0.989069,6/15/92,2.014417,6/15/92,0.625,7/10/85,0.706028,4/18/13,23.17,10/8/13,18.309999,3/3/94,28.500221,7/10/03,9.055,6/26/14,21.940001,6/28/07,136.16188,9/15/83,1.291667,8/11/86,1.736632,11/15/13,13.56,10/8/13,21.059999,11/11/93,6.619262,3/19/80,0.1666,8/3/88,2.680592,2/8/13,18.639999
10/8/03,17.072723,6/16/92,0.965236,6/16/92,2.014417,6/16/92,0.625,7/11/85,0.722449,4/19/13,24.049999,10/9/13,18.27,3/4/94,28.913269,7/11/03,8.98,6/27/14,22,6/29/07,139.033936,9/16/83,1.319444,8/12/86,1.791473,11/18/13,13.54,10/9/13,20.99,11/12/93,6.619262,3/20/80,0.1666,8/4/88,2.647498,2/11/13,19.02
10/9/03,17.01845,6/17/92,0.965236,6/17/92,2.002496,6/17/92,0.625,7/12/85,0.722449,4/22/13,23.75,10/10/13,18.389999,3/7/94,28.913269,7/14/03,10.275,6/30/14,22.15,7/2/07,140.469971,9/19/83,1.416667,8/13/86,1.919435,11/19/13,13.52,10/10/13,21.299999,11/15/93,6.619262,3/21/80,0.1666,8/5/88,2.647498,2/12/13,18.860001
10/10/03,16.974039,6/18/92,0.953319,6/18/92,1.978657,6/18/92,0.5625,7/15/85,0.744342,4/23/13,23.48,10/11/13,19.129999,3/8/94,28.913269,7/15/03,10.32,7/1/14,22.5,7/3/07,147.911224,9/20/83,1.361111,8/14/86,1.901157,11/20/13,13.64,10/11/13,21.940001,11/16/93,6.449536,3/24/80,0.1666,8/8/88,2.647498,2/13/13,19.030001
